id,content,year
1,"St. Lawrence Seaway at Montreal, Canada__no.0001, 2016.",2016
2,"New Orleans__0002, 2016. #Louisiana ",2016
3,"Suwannee River Delta, Florida__no.0003, 2016. ",2016
4,"Lower Suwannee River, Florida gulf__no.0004, 2016.",2016
5,"Ganges River Delta, Sundarbans Region, India__no.0005, 2016. #Asia",2016
6,"Delaware River, near Wilmington__no.  #Eastcoast",
7,"Volga River, Russia__no.0007, 2016. #Asia",2016
8,"Unknown, likely southwestern U.S.__no.0008, 2016.",2016
9,"Blue River, Kansas City, Missouri__no.0009, 2016.",2016
10,"Yukon River, Alaska__no.0010, 2016.",2016
11,"Kettle River Arm of Columbia River in Washington__no.0011, 2016.",2016
12,"Snake River, Southwest of Pocatello, Idaho__no.0012, 2016.  ",2016
13,"Gulf Coast at Mississippi Delta, Louisiana__no.0013, 2016.  ",2016
14,"Amazon River Delta, Brazil.__no.0014, 2016. #SouthAmerica",2016
15,"Unknown, possibly Columbia River Valley__no.0015, 2016.",2016
16,"Gulf of Thailand__no.0016, 2016. #Asia",2016
17,"Mississippi, Missouri, and Illinois Rivers at St. Louis__no.0017, 2016. ",2016
18,"Hudson River at Indian Point Nuclear Plant, 25 miles north of New York City__no.0018, 2016. #NewYork #Eastcoast ",2016
19,"Canadian Pacific Coast__no.0019, 2016. ",2016
20,"Tanana River, Alaska__no.0020, 2016.",2016
21,"Columbia River near Pacific Coast__no.0021, 2016.  #Westcoast",2016
22,"Mississippi and Ohio Rivers at Cairo, Illinois__no.0022, 2016.  ",2016
23,"Arctic Ocean__no.0023, 2016.",2016
24,"Colorado River at Hoover Dam__no.0024, 2016 #Nevada #Arizona ",2016
25,"Athabasca River, Alberta, Canada__no.0025, 2016.  ",2016
26,"Gulf of Mexico near Florida panhandle__no.0026, 2016.",2016
27,"Missouri River headwaters__no.0027, 2016. #Minnesota ",2016
28,"San Joaguin River, Central Valley, California__no.0028, 2016 ",2016
29,"Western coast of Canada, British Columbia__no.0029, 2016   ",2016
30,"Missouri and Kansas Rivers at Kansas City, reverse configuration__no.0030, 2016 ",2016
31,"Strait of Hormuz__no.0031, 2016. #Mideast #Iran #Shippingcorridor",2016
32,"The St. Clair River at Detroit, Michigan__no.0032, 2016  #LakeErie #Michigan #GreatLakes",2016
33,"Potomac and Anacostia Rivers at Washington, D.C.__no.0033, 2016. #Confluence #Maryland #Virginia",2016
34,"Cape Cod Canal between Buzzards Bay and Cape Cod Bay__no.0034, 2016.   #Massachusetts  #Eastcoast  ",2016
35,"Lake Assad, Syria__no.0035, 2016.  #Mideast",2016
36,"Rio Ucalayi, Peru__no.0036, 2016. #SouthAmerica",2016
37,"Everglades at Oyster Bay__no.0037, 2016. #Florida  #GulfofMexico",2016
38,"Suwannee River Delta, Florida, number 2.__no.0038, 2016. #GulfofMexico ",2016
39,"Apalachicola Delta, Gulf of Mexico__no.0039, 2016. #Florida #Riverdeltas ",2016
40,"Captiva, Florida__no.0040, 2016. #GulfofMexico",2016
41,"Unnamed, currently dry river flowing into the Red Sea, one of the saltiest bodies of water in the world__no.0041, 2016.  #Mideast",2016
42,"Zambezi River in Mozambique__no.0042, 2016. #Africa",2016
43,"Nile River at Aswan Dam, Egypt__no.0043, 2016.  #Africa",2016
44,"Madagascar near Mahajanga__no.0044, 2016.  #Island  #Islandcountry #IndianOcean #EastAfrica",2016
45,"The Elbe River at The North Sea, Germany__no.0045, 2016.  #Europe #NorthSea #Atlantic ",2016
46,"River Shannon, east of Limerick, Ireland__no.0046, 2016.  #BritishIsles  #Europe  ",2016
47,"Garome and Dore Rivers, north of Bordeaux, France__no.0047, 2016. #Europe",2016
48,"Suwannee River Delta number 3.__no.0048, 2016.  #Florida #GulfofMexico",2016
49,"Niagara River__no.0049, 2016.  #Ontario #Canada #NewYork",2016
50,"River Seine, west of Rouen, France__no.0050, 2016. #Europe",2016
51,"Flint River at City Water Plant in Flint, Michigan__no.0051, 2016. #watercontamination #Contamination #Pollution #publichealth #watersupply #watercrisis #publichealthcrisis #leadcontamination #toxicminerals",2016
52,"Potomac and Anacostia Rivers at Washington, DC.__no.0052, 2016. ",2016
53,"Helmand River, Afghanistan, near Lashkar Gah__no.0053, 2016. #Asia",2016
54,"Choctawatchee River at Choctawatchee Bay in Florida’s panhandle, the bay an inlet of the Gulf of Mexico__no.0054, 2016. #Florida",2016
55,"Nordkapp at Northern tip of Norway at Barents Sea__no.0055, 2016. #Europe",2016
56,"River Forth northwest of Edinburgh, Scotland__no.0056, 2016.",2016
57,"The Netherlands inland “de Biesbosch & Noordwaard Polder”__no.0057, 2016.",2016
58,"Lake Erie at Toledo, Ohio__no.0058, 2016. #GreatLakes",2016
59,"Istanbul, Turkey (reversed) - Sea of Marmara to the South, Black Sea to North__no.0059, 2016. #Asia",2016
60,"Gulf of Mexico at the Florida Panhandle__no.0060, 2016. ",2016
61,"Niobrara River & Missouri River west of Gavins Point Dam near the South Dakota, Nebraska border. (American Rivers: The river Niobrara drains one of the most arid sections of the Great Plains and has low flow for a river of its length. Its name comes from the Ponca saying, Ni Ubthatha khe, meaning “water spread-out horizontal-the”) This land marks the location of the Standing Rock Sioux Tribe challenge to the Keystone oil pipeline beginning in 2017__no.0061, 2016. #SouthDakota #StandingRock",2017
62,"North Saskatchewan River, Prince Albert, Canada. Husky oil spill, pipeline leak__no.0062, 2016. #watercontamination #oilspill ",2016
63,"Rio de Janeiro, Brazil, at Guanabara Bay, where Summer Olympics of 2016 confronted major pollution issues in the bay__no.0063, 2016.  #watercontamination",2016
64,"Congo River near Boma, Democratic Republic of the Congo__no.0064, 2016. #Africa",2016
65,"Amazon River at Macapa, Brazil, near the Atlantic Ocean__no.0065, 2016. #SouthAmerica ",2016
66,"River Negro, northwest of Manaus, Brazil, is a tributary of the Amazon River__no.0066, 2016",2016
